checkpoint,gold_cat,pred_IDEOLOGICAL-INEQUALITY,pred_STEREOTYPING-DOMINANCE,pred_OBJECTIFICATION,pred_SEXUAL-VIOLENCE,pred_MISOGYNY-NON-SEXUAL-VIOLENCE
vista_e_task23_best,IDEOLOGICAL-INEQUALITY,0.636,0.607,0.376,0.234,0.465
vista_e_task23_best,STEREOTYPING-DOMINANCE,0.640,0.696,0.532,0.352,0.524
vista_e_task23_best,OBJECTIFICATION,0.509,0.596,0.673,0.515,0.451
vista_e_task23_best,SEXUAL-VIOLENCE,0.350,0.481,0.699,0.716,0.383
vista_e_task23_best,MISOGYNY-NON-SEXUAL-VIOLENCE,0.643,0.690,0.610,0.429,0.629
vista_e_task23_max512,IDEOLOGICAL-INEQUALITY,0.760,0.864,0.566,0.220,0.595
vista_e_task23_max512,STEREOTYPING-DOMINANCE,0.769,0.909,0.702,0.333,0.685
vista_e_task23_max512,OBJECTIFICATION,0.596,0.889,0.858,0.503,0.639
vista_e_task23_max512,SEXUAL-VIOLENCE,0.508,0.831,0.891,0.743,0.672
vista_e_task23_max512,MISOGYNY-NON-SEXUAL-VIOLENCE,0.738,0.914,0.738,0.438,0.800
vista_e_task23_max512_v2,IDEOLOGICAL-INEQUALITY,0.806,0.858,0.538,0.208,0.598
vista_e_task23_max512_v2,STEREOTYPING-DOMINANCE,0.798,0.892,0.688,0.331,0.685
vista_e_task23_max512_v2,OBJECTIFICATION,0.620,0.843,0.809,0.500,0.596
vista_e_task23_max512_v2,SEXUAL-VIOLENCE,0.514,0.716,0.858,0.738,0.607
vista_e_task23_max512_v2,MISOGYNY-NON-SEXUAL-VIOLENCE,0.781,0.886,0.724,0.438,0.805
vista_e_task23_max512_R,IDEOLOGICAL-INEQUALITY,0.789,0.890,0.569,0.225,0.656
vista_e_task23_max512_R,STEREOTYPING-DOMINANCE,0.804,0.914,0.728,0.358,0.742
vista_e_task23_max512_R,OBJECTIFICATION,0.648,0.870,0.840,0.522,0.639
vista_e_task23_max512_R,SEXUAL-VIOLENCE,0.552,0.765,0.891,0.770,0.639
vista_e_task23_max512_R,MISOGYNY-NON-SEXUAL-VIOLENCE,0.790,0.924,0.781,0.471,0.829
vista_e_task23_longformer,IDEOLOGICAL-INEQUALITY,0.711,0.841,0.416,0.168,0.402
vista_e_task23_longformer,STEREOTYPING-DOMINANCE,0.702,0.887,0.543,0.277,0.446
vista_e_task23_longformer,OBJECTIFICATION,0.552,0.809,0.741,0.460,0.395
vista_e_task23_longformer,SEXUAL-VIOLENCE,0.421,0.721,0.760,0.705,0.475
vista_e_task23_longformer,MISOGYNY-NON-SEXUAL-VIOLENCE,0.690,0.852,0.619,0.395,0.595
vista_e_task23_longformer_v2,IDEOLOGICAL-INEQUALITY,0.665,0.861,0.436,0.199,0.428
vista_e_task23_longformer_v2,STEREOTYPING-DOMINANCE,0.599,0.884,0.554,0.306,0.481
vista_e_task23_longformer_v2,OBJECTIFICATION,0.460,0.809,0.741,0.485,0.407
vista_e_task23_longformer_v2,SEXUAL-VIOLENCE,0.290,0.683,0.749,0.732,0.448
vista_e_task23_longformer_v2,MISOGYNY-NON-SEXUAL-VIOLENCE,0.576,0.829,0.614,0.395,0.633
vista_e_task23_longformer_R,IDEOLOGICAL-INEQUALITY,0.731,0.795,0.399,0.251,0.454
vista_e_task23_longformer_R,STEREOTYPING-DOMINANCE,0.707,0.884,0.543,0.336,0.511
vista_e_task23_longformer_R,OBJECTIFICATION,0.534,0.793,0.738,0.509,0.432
vista_e_task23_longformer_R,SEXUAL-VIOLENCE,0.393,0.732,0.798,0.754,0.432
vista_e_task23_longformer_R,MISOGYNY-NON-SEXUAL-VIOLENCE,0.690,0.862,0.595,0.395,0.662
