checkpoint,categoria,freq_gold,freq_pred,TP,FP,FN,TN,precision,recall,F1,F1_macro_global,F1_micro_global,ICM,ICMSoft,ICMSoftNorm
vista_e_task23_best,IDEOLOGICAL-INEQUALITY,346,310,220,90,126,162,0.7097,0.6358,0.6707,0.6750,0.6821,-2.1484,-12.1338,0.0000
vista_e_task23_best,STEREOTYPING-DOMINANCE,372,333,259,74,113,152,0.7778,0.6962,0.7348,,,,,
vista_e_task23_best,OBJECTIFICATION,324,281,218,63,106,211,0.7758,0.6728,0.7207,,,,,
vista_e_task23_best,SEXUAL-VIOLENCE,183,203,131,72,52,343,0.6453,0.7158,0.6788,,,,,
vista_e_task23_best,MISOGYNY-NON-SEXUAL-VIOLENCE,210,253,132,121,78,267,0.5217,0.6286,0.5702,,,,,
vista_e_task23_max512,IDEOLOGICAL-INEQUALITY,346,390,263,127,83,125,0.6744,0.7601,0.7147,0.7137,0.7224,0.3363,-4.5932,0.2095
vista_e_task23_max512,STEREOTYPING-DOMINANCE,372,506,338,168,34,58,0.6680,0.9086,0.7699,,,,,
vista_e_task23_max512,OBJECTIFICATION,324,403,278,125,46,149,0.6898,0.8580,0.7648,,,,,
vista_e_task23_max512,SEXUAL-VIOLENCE,183,201,136,65,47,350,0.6766,0.7432,0.7083,,,,,
vista_e_task23_max512,MISOGYNY-NON-SEXUAL-VIOLENCE,210,340,168,172,42,216,0.4941,0.8000,0.6109,,,,,
vista_e_task23_max512_v2,IDEOLOGICAL-INEQUALITY,346,419,279,140,67,112,0.6659,0.8064,0.7294,0.7146,0.7234,0.3417,-5.9912,0.1211
vista_e_task23_max512_v2,STEREOTYPING-DOMINANCE,372,487,332,155,40,71,0.6817,0.8925,0.7730,,,,,
vista_e_task23_max512_v2,OBJECTIFICATION,324,377,262,115,62,159,0.6950,0.8086,0.7475,,,,,
vista_e_task23_max512_v2,SEXUAL-VIOLENCE,183,201,135,66,48,349,0.6716,0.7377,0.7031,,,,,
vista_e_task23_max512_v2,MISOGYNY-NON-SEXUAL-VIOLENCE,210,335,169,166,41,222,0.5045,0.8048,0.6202,,,,,
vista_e_task23_max512_R,IDEOLOGICAL-INEQUALITY,346,420,273,147,73,105,0.6500,0.7890,0.7128,0.7135,0.7205,0.3331,-6.1419,0.1116
vista_e_task23_max512_R,STEREOTYPING-DOMINANCE,372,505,340,165,32,61,0.6733,0.9140,0.7754,,,,,
vista_e_task23_max512_R,OBJECTIFICATION,324,401,272,129,52,145,0.6783,0.8395,0.7503,,,,,
vista_e_task23_max512_R,SEXUAL-VIOLENCE,183,209,141,68,42,347,0.6746,0.7705,0.7194,,,,,
vista_e_task23_max512_R,MISOGYNY-NON-SEXUAL-VIOLENCE,210,361,174,187,36,201,0.4820,0.8286,0.6095,,,,,
vista_e_task23_longformer,IDEOLOGICAL-INEQUALITY,346,349,246,103,100,149,0.7049,0.7110,0.7079,0.7051,0.7179,0.2647,-3.4947,0.2790
vista_e_task23_longformer,STEREOTYPING-DOMINANCE,372,487,330,157,42,69,0.6776,0.8871,0.7683,,,,,
vista_e_task23_longformer,OBJECTIFICATION,324,311,240,71,84,203,0.7717,0.7407,0.7559,,,,,
vista_e_task23_longformer,SEXUAL-VIOLENCE,183,180,129,51,54,364,0.7167,0.7049,0.7107,,,,,
vista_e_task23_longformer,MISOGYNY-NON-SEXUAL-VIOLENCE,210,219,125,94,85,294,0.5708,0.5952,0.5828,,,,,
vista_e_task23_longformer_v2,IDEOLOGICAL-INEQUALITY,346,306,230,76,116,176,0.7516,0.6647,0.7055,0.7029,0.7140,0.2455,-5.1343,0.1753
vista_e_task23_longformer_v2,STEREOTYPING-DOMINANCE,372,490,329,161,43,65,0.6714,0.8844,0.7633,,,,,
vista_e_task23_longformer_v2,OBJECTIFICATION,324,320,240,80,84,194,0.7500,0.7407,0.7453,,,,,
vista_e_task23_longformer_v2,SEXUAL-VIOLENCE,183,195,134,61,49,354,0.6872,0.7322,0.7090,,,,,
vista_e_task23_longformer_v2,MISOGYNY-NON-SEXUAL-VIOLENCE,210,240,133,107,77,281,0.5542,0.6333,0.5911,,,,,
vista_e_task23_longformer_R,IDEOLOGICAL-INEQUALITY,346,362,253,109,93,143,0.6989,0.7312,0.7147,0.7116,0.7243,0.3067,-5.4749,0.1538
vista_e_task23_longformer_R,STEREOTYPING-DOMINANCE,372,465,329,136,43,90,0.7075,0.8844,0.7861,,,,,
vista_e_task23_longformer_R,OBJECTIFICATION,324,306,239,67,85,207,0.7810,0.7377,0.7587,,,,,
vista_e_task23_longformer_R,SEXUAL-VIOLENCE,183,217,138,79,45,336,0.6359,0.7541,0.6900,,,,,
vista_e_task23_longformer_R,MISOGYNY-NON-SEXUAL-VIOLENCE,210,247,139,108,71,280,0.5628,0.6619,0.6083,,,,,
